FRAME NUMBER;POSITION;ID;BALL
2892;(384, 835);291;False
2892;(1021, 539);358;False
2892;(661, 526);350;False
2892;(418, 521);238;False
2892;(981, 438);149;False
2892;(738, 422);317;False
2892;(798, 414);246;False
2892;(366, 425);366;False
2892;(744, 391);334;False
2892;(360, 312);267;False
2892;(455, 225);248;False
2892;(1306, 199);151;False
2892;(675, 200);332;False
2893;(384, 836);291;False
2893;(1013, 542);358;False
2893;(661, 526);350;False
2893;(418, 523);238;False
2893;(979, 438);149;False
2893;(739, 395);334;False
2893;(798, 411);246;False
2893;(366, 426);366;False
2893;(360, 311);267;False
2893;(455, 224);248;False
2893;(1307, 205);151;False
2893;(675, 201);332;False
2894;(385, 835);291;False
2894;(1021, 539);358;False
2894;(664, 526);350;False
2894;(419, 522);238;False
2894;(979, 438);149;False
2894;(739, 398);334;False
2894;(799, 410);246;False
2894;(367, 427);366;False
2894;(360, 311);267;False
2894;(456, 224);248;False
2894;(1306, 207);151;False
2894;(675, 202);332;False
2895;(384, 835);291;False
2895;(1021, 540);358;False
2895;(664, 526);350;False
2895;(419, 522);238;False
2895;(978, 438);149;False
2895;(739, 400);334;False
2895;(799, 409);246;False
2895;(366, 425);366;False
2895;(360, 310);267;False
2895;(456, 224);248;False
2895;(1306, 208);151;False
2895;(675, 202);332;False
2896;(384, 836);291;False
2896;(1021, 539);358;False
2896;(666, 526);350;False
2896;(419, 526);238;False
2896;(978, 439);149;False
2896;(739, 402);334;False
2896;(367, 425);366;False
2896;(799, 406);246;False
2896;(360, 310);267;False
2896;(456, 224);248;False
2896;(1296, 209);151;False
2896;(675, 203);332;False
2897;(384, 835);291;False
2897;(1021, 540);358;False
2897;(668, 526);350;False
2897;(419, 522);238;False
2897;(978, 439);149;False
2897;(367, 425);366;False
2897;(739, 427);369;False
2897;(799, 403);246;False
2897;(763, 404);334;False
2897;(360, 310);267;False
2897;(457, 224);248;False
2897;(1298, 209);151;False
2897;(1260, 234);370;False
2897;(675, 206);332;False
2898;(384, 835);291;False
2898;(1021, 540);358;False
2898;(668, 526);350;False
2898;(419, 520);238;False
2898;(978, 439);149;False
2898;(368, 425);366;False
2898;(739, 405);334;False
2898;(797, 403);246;False
2898;(360, 310);267;False
2898;(1294, 208);151;False
2898;(1241, 239);370;False
2898;(457, 224);248;False
2898;(675, 206);332;False
2899;(384, 835);291;False
2899;(1021, 540);358;False
2899;(670, 526);350;False
2899;(419, 516);238;False
2899;(978, 439);149;False
2899;(368, 425);366;False
2899;(739, 406);334;False
2899;(795, 401);246;False
2899;(361, 310);267;False
2899;(1208, 250);370;False
2899;(457, 224);248;False
2899;(1287, 209);151;False
2899;(675, 208);332;False
2900;(385, 836);291;False
2900;(1022, 539);358;False
2900;(671, 526);350;False
2900;(419, 512);238;False
2900;(978, 438);149;False
2900;(370, 425);366;False
2900;(739, 427);371;False
2900;(763, 406);334;False
2900;(792, 398);246;False
2900;(361, 310);267;False
2900;(1165, 262);370;False
2900;(458, 223);248;False
2900;(1282, 208);151;False
2900;(675, 210);332;False
2901;(385, 836);291;False
2901;(1033, 544);358;False
2901;(672, 526);350;False
2901;(419, 510);238;False
2901;(978, 438);149;False
2901;(739, 427);371;False
2901;(371, 421);366;False
2901;(763, 407);334;False
2901;(791, 397);246;False
2901;(362, 310);267;False
2901;(1142, 270);370;True
2901;(458, 223);248;False
2901;(1280, 208);151;False
2901;(675, 211);332;False
2902;(384, 836);291;False
2902;(1034, 545);358;False
2902;(672, 526);350;False
2902;(419, 506);238;False
2902;(978, 438);149;False
2902;(371, 421);366;False
2902;(739, 427);371;False
2902;(763, 408);334;False
2902;(789, 392);246;False
2902;(362, 310);267;False
2902;(1104, 281);370;False
2902;(1277, 208);151;False
2902;(459, 222);248;False
2902;(674, 214);332;False
2903;(384, 835);291;False
2903;(1022, 538);358;False
2903;(672, 525);350;False
2903;(420, 503);238;False
2903;(978, 439);149;False
2903;(373, 432);366;False
2903;(762, 409);334;False
2903;(739, 427);371;False
2903;(787, 389);246;False
2903;(363, 311);267;False
2903;(1056, 294);370;False
2903;(1275, 209);151;False
2903;(459, 221);248;False
2903;(674, 217);332;False
2904;(390, 835);291;False
2904;(1034, 541);358;False
2904;(672, 524);350;False
2904;(420, 501);238;False
2904;(977, 438);149;False
2904;(374, 426);366;False
2904;(762, 410);334;False
2904;(738, 427);371;False
2904;(784, 386);246;False
2904;(363, 311);267;False
2904;(1037, 301);370;False
2904;(1275, 210);151;False
2904;(460, 220);248;False
2904;(672, 219);332;False
2905;(390, 836);291;False
2905;(1035, 541);358;False
2905;(672, 523);350;False
2905;(1013, 526);372;False
2905;(419, 499);238;False
2905;(977, 438);149;False
2905;(383, 421);366;False
2905;(761, 410);334;False
2905;(736, 428);371;False
2905;(779, 382);246;False
2905;(364, 310);267;False
2905;(994, 317);370;True
2905;(1275, 212);151;False
2905;(461, 219);248;False
2905;(671, 221);332;False
2906;(390, 836);291;False
2906;(672, 523);350;False
2906;(1034, 540);358;False
2906;(1013, 525);372;False
2906;(419, 497);238;False
2906;(978, 439);149;False
2906;(378, 421);366;False
2906;(762, 410);334;False
2906;(736, 428);371;False
2906;(774, 378);246;False
2906;(365, 309);267;False
2906;(963, 331);370;True
2906;(1275, 213);151;False
2906;(462, 218);248;False
2906;(669, 223);332;False
2907;(390, 835);291;False
2907;(672, 523);350;False
2907;(1026, 539);358;False
2907;(1013, 525);372;False
2907;(418, 498);238;False
2907;(977, 439);149;False
2907;(379, 421);366;False
2907;(764, 411);334;False
2907;(736, 426);371;False
2907;(773, 376);246;False
2907;(931, 338);370;True
2907;(365, 308);267;False
2907;(1275, 214);151;False
2907;(669, 223);332;False
2907;(463, 217);248;False
2908;(390, 836);291;False
2908;(672, 523);350;False
2908;(1014, 523);358;False
2908;(416, 499);238;False
2908;(381, 421);366;False
2908;(977, 438);149;False
2908;(768, 416);334;False
2908;(736, 424);371;False
2908;(771, 373);246;False
2908;(893, 350);370;False
2908;(366, 307);267;False
2908;(1275, 217);151;False
2908;(666, 227);332;False
2908;(465, 214);248;False
2909;(392, 836);291;False
2909;(670, 523);350;False
2909;(1015, 522);358;False
2909;(415, 499);238;False
2909;(382, 421);366;False
2909;(977, 439);149;False
2909;(769, 421);334;False
2909;(736, 422);371;False
2909;(771, 369);246;False
2909;(854, 365);370;True
2909;(367, 305);267;False
2909;(1275, 218);151;False
2909;(663, 236);332;False
2909;(467, 212);248;False
2910;(392, 836);291;False
2910;(669, 523);350;False
2910;(1026, 540);358;False
2910;(414, 499);238;False
2910;(1015, 522);373;False
2910;(384, 421);366;False
2910;(978, 439);149;False
2910;(771, 424);334;False
2910;(736, 421);371;False
2910;(771, 368);246;False
2910;(835, 370);370;True
2910;(367, 304);267;False
2910;(1273, 219);151;False
2910;(662, 238);332;False
2910;(467, 211);248;False
2910;(686, 232);374;False
2911;(392, 836);291;False
2911;(668, 525);350;False
2911;(1015, 522);358;False
2911;(414, 499);238;False
2911;(384, 425);366;False
2911;(978, 439);149;False
2911;(773, 430);334;False
2911;(736, 419);371;False
2911;(771, 364);246;False
2911;(368, 302);267;False
2911;(402, 312);375;False
2911;(1262, 221);151;False
2911;(661, 240);332;False
2911;(684, 239);374;False
2911;(470, 209);248;False
2912;(392, 836);291;False
2912;(671, 526);350;False
2912;(1014, 522);358;False
2912;(414, 499);238;False
2912;(388, 421);366;False
2912;(775, 435);334;False
2912;(978, 439);149;False
2912;(736, 417);371;False
2912;(762, 394);376;True
2912;(771, 361);246;False
2912;(367, 301);267;False
2912;(1253, 222);151;False
2912;(658, 241);332;False
